Date, A, B
28-10-2020 20:26, 1, 0
28-10-2020 20:29, 1, 0
03-11-2020 15:57, 1, 0
03-11-2020 16:09, 1, 0
03-11-2020 16:19, 0, 1
03-11-2020 16:28, 1, 0
03-11-2020 16:34, 0, 1
03-11-2020 16:39, 0, 1
03-11-2020 16:44, 0, 1
03-11-2020 16:49, 0, 1
03-11-2020 17:05, 1, 0
03-11-2020 17:17, 1, 0
03-11-2020 17:17, 1, 0
03-11-2020 17:26, 0, 1
03-11-2020 17:34, 0, 1
03-11-2020 17:39, 0, 1
03-11-2020 17:41, 1, 0
03-11-2020 17:47, 0, 1
03-11-2020 17:56, 1, 0
03-11-2020 18:02, 1, 0
03-11-2020 18:30, 1, 0
03-11-2020 18:47, 1, 0
03-11-2020 18:56, 1, 0
03-11-2020 19:02, 1, 0
06-11-2020 16:39, 0, 1
06-11-2020 16:44, 0, 1
06-11-2020 16:51, 0, 1
06-11-2020 17:00, 0, 1
06-11-2020 17:20, 0, 1
06-11-2020 17:30, 0, 1
06-11-2020 17:37, 1, 0
06-11-2020 17:40, 1, 0
06-11-2020 17:43, 1, 0
06-11-2020 17:50, 1, 0
06-11-2020 18:01, 0.5, 0.5
06-11-2020 18:06, 0, 1
06-11-2020 18:14, 1, 0
06-11-2020 18:22, 1, 0
07-11-2020 16:21, 1, 0
07-11-2020 16:30, 1, 0
07-11-2020 16:40, 0, 1
07-11-2020 16:50, 1, 0
07-11-2020 17:00, 1, 0
07-11-2020 17:15, 1, 0
07-11-2020 17:23, 1, 0
07-11-2020 17:29, 1, 0
07-11-2020 17:35, 0, 1
07-11-2020 17:39, 0, 1
07-11-2020 17:50, 1, 0
07-11-2020 17:54, 1, 0
07-11-2020 18:00, 0, 1
07-11-2020 18:02, 0, 1
07-11-2020 18:09, 1, 0
07-11-2020 18:36, 1, 0
07-11-2020 18:44, 0, 1
07-11-2020 18:56, 0, 1
07-11-2020 19:01, 1, 0
07-11-2020 19:09, 1, 0
07-11-2020 19:16, 1, 0
07-11-2020 19:28, 0.5, 0.5
07-11-2020 19:31, 1, 0
07-11-2020 19:39, 1, 0
02-12-2020 17:47, 0, 1
02-12-2020 17:52, 0, 1
